Client,QBTime_Jobcodes_Mapped,Rate,Rate_Source,Billable_Raw_HMM,Billable_Raw_Hrs,Rounded_Hrs,Amount,Excluded_NonBillable_HMM,Yes,No,Blank,Category,Flags
"Knoxpro Plumbing LLC","Knoxpro Plumbing LLC",125.00,firm default,3:05,3.08,3.25,406.25,0:00,8,0,0,WILL INVOICE,
"Knoxville Tile Installation LLC","Knoxville Tile Installation LLC",125.00,firm default,1:51,1.85,2.00,250.00,0:00,2,0,0,WILL INVOICE,
"Knoxville Title Agency LLC","Knoxville Title Agency LLC",125.00,firm default,33:01,33.02,33.25,4156.25,0:00,58,0,0,WILL INVOICE,
"Legacy Concrete Contractors","Legacy Concrete Contractors",125.00,firm default,2:18,2.30,2.50,312.50,0:00,5,0,0,WILL INVOICE,
"Lendall Roberts","Lendall Roberts",75.00,override,7:57,7.95,8.00,600.00,0:00,27,0,0,WILL INVOICE,
"Little Counselling Suites Inc","Little Counselling Suites Inc",125.00,firm default,2:12,2.20,2.25,281.25,0:00,6,0,0,WILL INVOICE,
"Martinez Handyman LLC","Martinez Handyman LLC",125.00,firm default,2:11,2.18,2.25,281.25,0:00,3,0,0,WILL INVOICE,
"Maryville Title Agency, Inc","Maryville Title Agency, Inc",125.00,firm default,13:24,13.40,13.50,1687.50,0:00,14,0,0,WILL INVOICE,
"Morristown Dentistry PLLC","Morristown Dentistry | Morristown Dentistry Payroll Returns",75.00,override,3:49,3.82,4.00,300.00,0:00,8,0,0,WILL INVOICE,merged-mapping
"My Pet's Animal Hospital","My Pet's Animal Hospital",125.00,firm default,2:33,2.55,2.75,343.75,0:00,9,0,0,WILL INVOICE,
"Oak Ridge Chamber of Commerce","Oak Ridge Chamber of Commerce",75.00,override,16:56,16.93,17.00,1275.00,0:00,18,0,0,WILL INVOICE,
"Oak Ridge Heritage Railroad Authority","Oak Ridge Heritage Railroad Authority",125.00,firm default,0:56,0.93,1.00,125.00,0:00,2,0,0,WILL INVOICE,
"Oak Ridge Public Schools Education Foundation","Oak Ridge Public Schools Education Foundation",125.00,firm default,12:04,12.07,12.25,1531.25,0:22,13,1,0,WILL INVOICE,has-excluded-entry
"Premiere Painting and Drywall","Premiere Painting and drywall-1",125.00,firm default,2:18,2.30,2.50,312.50,0:00,5,0,0,WILL INVOICE,
"Sara Rose LLC","Sara Rose LLC",125.00,firm default,3:36,3.60,3.75,468.75,0:00,7,0,0,WILL INVOICE,
"Schakolad Chocolate Factory","Schakolad Chocolate Factory",125.00,firm default,1:26,1.43,1.50,187.50,0:00,4,0,0,WILL INVOICE,
"Secret City Cleaning, LLC","Secret City Cleaning, LLC",125.00,firm default,2:42,2.70,2.75,343.75,0:00,7,0,0,WILL INVOICE,
"Sevier Title Agency","Sevier Title Agency",125.00,firm default,0:39,0.65,0.75,93.75,0:00,2,0,0,WILL INVOICE,
